Unnamed: 0,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
10,Decline bar press sit-up,"Sit-upa prasowa prasowa jest ważonym ćwiczeniem rdzeniowym ukierunkowanym na mięśnie brzuszne, szczególnie niższe ABS.Przesunięcie ciężaru rzuca także ramiona i górną część pleców.Ważone warianty sit-up są zwykle wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń na zestaw lub więcej, w ramach części treningu skoncentrowanego na rdzeniu.",Strength Training,Abdominals,Barbell,Intermediate,8.5,Average
11,Bench barbell roll-out,"Wdrożenie sztandarowe to trudne ćwiczenie ukierunkowane na brzuch.Jest podobny do używania rolki AB, ale użycie sztangi pozwala na szerszy uchwyt.Umieszczenie kolan na ławce, a nie na podłodze, utrudnia ten ruch poprzez zwiększenie wyzwania w górnej części ciała.",Strength Training,Abdominals,Barbell,Beginner,8.3,Average
12,Barbell Side Bend,,Strength Training,Abdominals,Barbell,Beginner,7.0,Average
13,Seated bar twist,"Siedzący skręt barowy jest podstawowym ćwiczeniem mającym na celu wzmocnienie ukośników.Często jest wykonywany dla wysokich powtórzeń o stosunkowo lekkiej masie, takich jak pusta sztangę, lekki pręt o stałej masie, a nawet rura PCV.Można go wykonać podczas treningu, pod koniec treningu lub poza siłownią, aby zbudować siłę i odporność rdzenia.",Strength Training,Abdominals,Barbell,Intermediate,4.7,Average
14,Single-arm landmine pull and press,"Pojedyncze wyciąganie i naciśnięcie lądowania jednoramiennego jest wybuchowym ruchem obrotowym za pomocą sztangi zakotwiczonej w urządzeniu do lądowania.Łączy ściągnięcie podłogi z obrotem i wykończa prasą.Zazwyczaj wykonuje się to dla niskich powtórzeń na zestaw z naciskiem na prędkość i formę, a nie poruszając ciężką.",Strength Training,Abdominals,Barbell,Intermediate,,
15,Barbell Ab Roll Out - Gethin Variation,"Wdrożenie Barbell to ćwiczenie brzucha, które wykorzystuje sztangę w miejscu rolki AB.Jest najlepiej wykonany z sztangą, która ma obracające się kołnierze i jest uważane za trudniejsze niż inne warianty rolkowe AB.Wielu podnośników może na początku nie być w stanie wykonać jednego przedstawiciela, ale kiedy będą mogli je wykonać dla przedstawicieli, zostaną nagrodzone poważnym rdzeniem.",Strength Training,Abdominals,Barbell,Intermediate,,
16,30 Barbell Floor Wiper,"Wierpa podłogowa Barbell jest podstawowym ćwiczeniem, w którym sztanga jest trzymana w zamkniętej pozycji prasy podłogowej, a biodra i nogi są obracane na bok.Kieruje się na skośne mięśnie brzucha bocznego, ale jest również poważnie trudne dla głębokiego rdzenia i brzucha odbytnicy lub mięśni „sześciopakowych”.",Strength Training,Abdominals,Barbell,Intermediate,,
17,30 Barbell Roll-Out,"Wdrożenie Barbell to ćwiczenie brzucha, które wykorzystuje sztangę w miejscu rolki AB.Jest najlepiej wykonany z sztangą, która ma obracające się kołnierze i jest uważane za trudniejsze niż inne warianty rolkowe AB.Wielu podnośników może na początku nie być w stanie wykonać jednego przedstawiciela, ale kiedy będą mogli je wykonać dla przedstawicieli, zostaną nagrodzone poważnym rdzeniem.",Strength Training,Abdominals,Barbell,Intermediate,,
18,Decline plate sit-up,"Syt-up spadku jest ważonym ćwiczeniem rdzeniowym, który działa mięśnie brzuszne odbytnicy lub „sześciopakowe”, a także mięśnie głębokiego rdzenia.Ważone warianty sit-up są zwykle wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń na zestaw lub więcej, w ramach części treningu skoncentrowanego na rdzeniu.",Strength Training,Abdominals,Barbell,Intermediate,,
19,KV Barbell Hip Thrust,,Strength Training,Abdominals,Barbell,Intermediate,,
20,Advanced Kettlebell Windmill,,Strength Training,Abdominals,Kettlebells,Beginner,8.3,Average
21,Kettlebell Windmill,Windmill Singlettlebell to dynamiczne ćwiczenie kettlebell podkreślające siłę rdzenia oraz mobilność i stabilność bioder i stabilność.Jest często stosowany jako funkcjonalny rozgrzewka lub do wielokierunkowej pracy siłowej.Nie działa tak dobrze w MetCon lub warunkowym i nie należy go wykonywać pod intensywnym zmęczeniem.,Strength Training,Abdominals,Kettlebells,Intermediate,7.7,Average
22,Kettlebell Pass Between The Legs,,Strength Training,Abdominals,Kettlebells,Beginner,7.3,Average
23,Kettlebell 3-point leg extension,"3-punktowe przedłużenie nogi Kettlebell to dynamiczne ćwiczenie rdzeniowe wykonywane wokół i nad kettlebell lub inny krótki, stacjonarny obiekt.Jest pod pewnymi względami podobny do kryzysu V-UP lub odwrotnego, ale celuje zarówno o ukośne, jak i odbytnicze mięśnie brzuszne lub „sześciopakowe”.Można to wykonywać dla powtórzeń lub czasu, zwykle podczas dedykowanego treningu AB lub w ramach treningu kettlebell i obwodu ciała.",Strength Training,Abdominals,Kettlebells,Intermediate,0.0,
24,Double Kettlebell Swing,,Strength Training,Abdominals,Kettlebells,Intermediate,,
25,Burpee over kettlebell,"Burpee nad Kettlebell to bardziej zaawansowana wersja popularnego ćwiczenia uwarunkowania.Jeśli wykonujesz obwód, który ma już zarówno burpee, jak i ruchy kettlebell, jest to prosty sposób na dostarczenie nowego bodźca dla mięśni dolnej części ciała i stworzenie bardziej atletyczny styl treningu.",Strength Training,Abdominals,Kettlebells,Intermediate,,
26,Kettlebell toe-touch,"Kettlebell Touch-Touch to trudniejsza wersja bardzo popularnego ruchu brzucha zwykle wykonywanego dla wysokich powtórzeń.Proste dodanie wagi sprawia, że ​​u nogi utrudnia się u nogi, zapewniając inny bodziec do rdzenia podczas treningu.",Strength Training,Abdominals,Kettlebells,Intermediate,,
27,Kettlebell swing,"Huśtawka Kettlebell to popularne ćwiczenie dolnego ciała podkreślające ścięgna, pośladki i mięśnie pleców.Często jest używany do szkolenia mocy wybuchowej, do kondycjonowania aerobowego lub sercowo -naczyniowego, w szkoleniu obwodowym lub jako ruch akcesoriów do martwego ciąży.",Strength Training,Abdominals,Kettlebells,Intermediate,,
28,Two-way swing,"Dwukierunkowa huśtawka Kettlebell to ćwiczenie, które naprzemiennie huśtawka kettlebell w klatce piersiowej (czasami nazywana huśtawką „rosyjską” lub „hardstyle”) z huśtawką Kettlebell (czasem nazywaną „amerykańskim” huśtawką).Obie zmiany huśtawki działają wiele takich samych mięśni, takich jak ścięgna, pośladki i rdzeń, ale ponieważ waga musi podróżować dalej w huśtawce napowietrznej, jest nieco bardziej wymagający metabolicznie i pracuje bardziej na górnej części pleców i ramionach.Ta kombinacja może być wykonywana dla czasu lub powtórzeń i działa szczególnie dobrze w treningu w stylu obwodowym lub całego ciała.Jeśli nie możesz wykonywać huśtawki napowietrznej bez bólu dolnej lub ramion, po prostu wykonaj huśtawkę o wysokości klatki piersiowej.",Strength Training,Abdominals,Kettlebells,Intermediate,,
29,Kettlebell crab reach,"Kettlebell Crab Reach to ćwiczenie naciskające kettlebell, w którym podnośnik naciska na głowę kettlebell w zmodyfikowanej pozycji mostu jednoramiennego.Proste dodanie wagi sprawia, że ​​zasięg jest znacznie trudniejszy, rzucając wyzwanie mięśni pleców, ramion, pośladków i rdzenia.",Strength Training,Abdominals,Kettlebells,Intermediate,,
30,Taylor Single-Arm Kettlebell Swing,,Strength Training,Abdominals,Kettlebells,Intermediate,,
31,Holman Kettlebell Up to Elbow Down,,Strength Training,Abdominals,Kettlebells,Intermediate,,
32,FYR2 Double-Kettlebell Ski,,Strength Training,Abdominals,Kettlebells,Intermediate,,
33,FYR2 Kettlebell Hike,,Strength Training,Abdominals,Kettlebells,Intermediate,,
34,FYR2 Kettlebell Cross-Body Catch,,Strength Training,Abdominals,Kettlebells,Intermediate,,
35,FYR2 Kettlebell Duck Walk,,Strength Training,Abdominals,Kettlebells,Intermediate,,
36,FYR2 Kettlebell Get-Up Reach,,Strength Training,Abdominals,Kettlebells,Intermediate,,
37,FYR2 Kettlebell Juggle,,Strength Training,Abdominals,Kettlebells,Intermediate,,
38,FYR2 Squat-Clean-Alternating-Press Complex,,Strength Training,Abdominals,Kettlebells,Intermediate,,
39,Dumbbell V-Sit Cross Jab,"Szczyt krzyżowy Vant V-SIT to ruch hybrydowy, który jednocześnie trenuje mięśnie brzuszne i barkowe.Może zająć się wieloma grupami mięśni w efektywnym czasie budowaniu mięśni lub treningu w stylu obwodów, jednocześnie zapewniając wyzwanie sercowo-naczyniowe.",Strength Training,Abdominals,Dumbbell,Intermediate,9.3,Average
40,Dumbbell spell caster,"Caster zaklęcia hantli to ćwiczenie, które przede wszystkim atakuje mięśnie brzuszne, takie jak skośne.Jednak działa również na ramiona, plecy, biodra i nogi i wymaga, aby wszystkie te mięśnie współpracują ze skoordynowanym ruchem.Zazwyczaj wykonuje się to ze stosunkowo lekkimi ciężarami dla umiarkowanych do wysokich powtórzeń, co najmniej 8-12 powtórzeń na stronę.Pamiętaj, aby używać tylko wagi, którą możesz kontrolować.",Strength Training,Abdominals,Dumbbell,Beginner,9.3,Average
41,Dumbbell side bend,"Zgrywa z hantli jest popularnym ćwiczeniem do atakowania ukośnych mięśni brzucha.Zwykle wykonuje się to dla stosunkowo wysokich powtórzeń, co najmniej 8-12 powtórzeń na zestaw lub więcej.Można go wykonywać jedną stronę na raz lub na przemian.",Strength Training,Abdominals,Dumbbell,Intermediate,8.6,Average
42,Dumbbell crunch,"Crunch hantli to trudniejsza wersja bardzo popularnego ruchu brzucha.Proste dodanie wagi sprawia, że ​​kryzys jest znacznie trudniejszy, zapewniając inny bodziec do rdzenia podczas treningu.",Strength Training,Abdominals,Dumbbell,Intermediate,,
43,Dumbbell Fix Dumbbell Sprawl,,Strength Training,Abdominals,Dumbbell,Intermediate,,
44,Dumbbell Fix Alternating Renegade Row,,Strength Training,Abdominals,Dumbbell,Intermediate,,
45,Dumbbell Fix Dumbbell Mountain Climber,,Strength Training,Abdominals,Dumbbell,Intermediate,,
46,Dumbbell Fix Dumbbell Russian Twist,,Strength Training,Abdominals,Dumbbell,Intermediate,,
47,Dumbbell Fix Dumbbell Pull-Over,,Strength Training,Abdominals,Dumbbell,Intermediate,,
48,Dumbbell Fix Dumbbell Sit-Up,,Strength Training,Abdominals,Dumbbell,Intermediate,,
49,Dumbbell Fix Dumbbell Front Squat,,Strength Training,Abdominals,Dumbbell,Intermediate,,
50,Dumbbell Fix Full Man Maker,,Strength Training,Abdominals,Dumbbell,Intermediate,,
51,Dumbbell T-hold,"Zagładowanie T hantle to ćwiczenie statyczne, które przede wszystkim atakuje ukośne, chociaż działa również w ramionach i górnej części pleców.Obejmuje trzymanie hantli w powietrzu, gdy jest w pozycji bocznej deski.Zazwyczaj wykonuje się to dla trzymów czasowych, chociaż można go wykonywać dynamicznie dla powtórzeń jako deski z obrotem hantli.",Strength Training,Abdominals,Dumbbell,Intermediate,,
52,Dumbbell hollow-body floor press,Prasa podłogowa Hantle Hollow-Body łączy siłę górnego ciała i pracę rdzenia w jednym ruchu.,Strength Training,Abdominals,Dumbbell,Intermediate,,
53,Dumbbell crusher,"Kruszarka hantli to kompleks hantli, który łączy przysiad z lokami hantli, a następnie prasą triceps.Kieruje się na nogi, pośladki, biceps, ramiona i triceps w jednej sekwencji, co czyni go świetnym sposobem na spalenie poważnych kalorii i uderzenie w wiele mięśni w krótkim czasie.Ruchy górnego ciała określi ilość wagi, którą można skutecznie użyć.",Strength Training,Abdominals,Dumbbell,Intermediate,,
54,Dumbbell Crunch - Gethin Variation,"Crunch hantli to trudniejsza wersja bardzo popularnego ruchu brzucha.Proste dodanie wagi sprawia, że ​​kryzys jest znacznie trudniejszy, zapewniając inny bodziec do rdzenia podczas treningu.",Strength Training,Abdominals,Dumbbell,Intermediate,,
55,Single-arm dumbbell crunch,"Kruz hantli jednoramiennej jest trudniejszą wersją bardzo popularnego ruchu brzucha.Dodanie wagi po jednej stronie sprawia, że ​​chrupanie jest znacznie trudniejsze do mięśni odbytnicy lub mięśni „sześciopakowych”, a także skośne i głębokie mięśnie rdzenia.",Strength Training,Abdominals,Dumbbell,Intermediate,,
56,HM Alternating Dumbbell Plank Row,,Strength Training,Abdominals,Dumbbell,Intermediate,,
57,Dumbbell straight-legged hip raise,Hantle z hantlami podnoszącymi biodra działa biodra i pośladki.Wymaga i uczy kontroli ciała i koordynacji.,Strength Training,Abdominals,Dumbbell,Intermediate,,
58,Seated leg tuck with dumbbell,Siedzona noga z hantle to ćwiczenie AB wymagające tylko ławki i hantli.Jest powszechnie wykonywany dla wysokich powtórzeń jako wypalenie pod koniec podstawowego treningu.,Strength Training,Abdominals,Dumbbell,Intermediate,,
59,Dumbbell V-sit cross jab-,"Szczyt krzyżowy Vant V-SIT to ruch hybrydowy, który jednocześnie trenuje mięśnie brzuszne i barkowe.Może zająć się wieloma grupami mięśni w efektywnym czasie budowaniu mięśni lub treningu w stylu obwodów, jednocześnie zapewniając wyzwanie sercowo-naczyniowe.",Strength Training,Abdominals,Dumbbell,Intermediate,,
60,30 Hanging Leg Raise With Dumbbell,,Strength Training,Abdominals,Dumbbell,Intermediate,,
61,Dumbbell Get-Up Sit-Up,,Strength Training,Abdominals,Dumbbell,Expert,,
62,Holman Right Side Plank with Left Triceps Press,,Strength Training,Abdominals,Dumbbell,Intermediate,,
63,Holman Left Side Plank with Right Triceps Press,,Strength Training,Abdominals,Dumbbell,Intermediate,,
64,Holman Boat with Feet Push-Out and Overhead Press,,Strength Training,Abdominals,Dumbbell,Intermediate,,
65,Holman Hovering Plank Row,,Strength Training,Abdominals,Dumbbell,Intermediate,,
66,Holman Weighted Seated Killer Abs to Russian Twist,,Strength Training,Abdominals,Dumbbell,Intermediate,,
67,Holman Straight Plank Dumbbell Reach-Under,,Strength Training,Abdominals,Dumbbell,Intermediate,,
68,Holman Straight-Arm Side Plank Overhead Press to Chest Press,,Strength Training,Abdominals,Dumbbell,Intermediate,,
69,Holman Weighted Burpee to Pike,,Strength Training,Abdominals,Dumbbell,Intermediate,,
70,Holman Straight-Legged Boat Chest Press,,Strength Training,Abdominals,Dumbbell,Intermediate,,
71,Holman Weighted Burpee to Side Delt Raise,,Strength Training,Abdominals,Dumbbell,Intermediate,,
72,Holman Heavy Double Pike,,Strength Training,Abdominals,Dumbbell,Intermediate,,
73,Holman Heavy Double Split Pike,,Strength Training,Abdominals,Dumbbell,Intermediate,,
74,MetaBurn Alternating Dumbbell Sit-Through,,Strength Training,Abdominals,Dumbbell,Intermediate,,
75,MetaBurn Alternating Plank Row With Dumbbell Pull-Through,,Strength Training,Abdominals,Dumbbell,Intermediate,,
76,MetaBurn Alternating Plank Row With Push-Up,,Strength Training,Abdominals,Dumbbell,Intermediate,,
77,MetaBurn Dumbbell Russian Twist,,Strength Training,Abdominals,Dumbbell,Intermediate,,
78,MetaBurn Dumbbell Toe-Touch,,Strength Training,Abdominals,Dumbbell,Intermediate,,
79,MetaBurn Plank To Alternating Row,,Strength Training,Abdominals,Dumbbell,Intermediate,,
80,Standing dumbbell knee crunch-,"Stojący chrupnięcie kolan hantli to świetny sposób na trenowanie mięśni brzucha podczas wstania.Ponadto naraziki są objęte, ponieważ podnośnik trzyma parę hantli nad głową.",Strength Training,Abdominals,Dumbbell,Intermediate,,
81,MetaBurn Plank With Dumbbell Rotation,,Strength Training,Abdominals,Dumbbell,Intermediate,,
82,FYR2 Dumbbell Crab Reach,,Strength Training,Abdominals,Dumbbell,Intermediate,,
83,FYR2 Dumbbell Man-Maker,,Strength Training,Abdominals,Dumbbell,Intermediate,,
84,FYR2 Dumbbell Sit-Up Reach,,Strength Training,Abdominals,Dumbbell,Intermediate,,
85,FYR2 Loaded Beast Sprawl,,Strength Training,Abdominals,Dumbbell,Intermediate,,
86,FYR2 Loaded to Unloaded Beast,,Strength Training,Abdominals,Dumbbell,Intermediate,,
87,Lying Leg Pullover,,Strength Training,Abdominals,Dumbbell,Intermediate,,
88,Landmine twist,"Trick landmin jest obrotowym ruchem brzucha wykonanym przy użyciu kątowej sztangi zakotwiczonej na poziomie podłogi w urządzeniu lądowym.Można go również wykonać, wkładając sztangę w rogu pokoju, najlepiej w ręczniku, aby chronić ściany.Kieruje się na głębokie mięśnie rdzenia, w tym zarówno skośne, jak i przejściowe brzuch.Można to zrobić szybko lub powoli, w przypadku czasu lub powtórzeń, w tradycyjnych zakresach powtórzeń skoncentrowanych na mięśniach, takich jak 8-12 powtórzeń na stronę lub dla wyższych zakresów powtórzeń.",Strength Training,Abdominals,Other,Intermediate,9.5,Average
89,Suspended ab fall-out,"Zawieszenie AB wypadku to dynamiczne ćwiczenie brzucha z wykorzystaniem układu zawieszenia lub pierścieni gimnastycznych.Jest podobny w formie do rolki AB, ale można go łatwiej skalować, aby być mniej lub bardziej trudnym.Kieruje się na mięśnie odbytnicy brzusznej lub mięśni „sześciopak”, a także mięśnie głębokiego rdzenia.Można go szkolić w przypadku niskich powtórzeń w celu uzyskania siły lub wyższych powtórzeń w celu definicji mięśni.",Strength Training,Abdominals,Other,Intermediate,9.3,Average
90,Decline reverse crunch,"Odwrotne przejęcie jest popularnym ćwiczeniem masy ciała ukierunkowanym na mięśnie brzuszne, szczególnie niższe ABS.Zwykle odbywa się to dla wysokich powtórzeń, takich jak 10-15 powtórzeń na zestaw lub więcej, w ramach zorientowanej na A część treningu.",Strength Training,Abdominals,Other,Intermediate,9.2,Average
91,Plate Twist,,Strength Training,Abdominals,Other,Beginner,9.0,Average
92,Weighted Crunches,"Ważona walizka to ważona wersja popularnego treningu brzucha.Proste dodanie wagi sprawia, że ​​walizka jest znacznie trudniejsza, pomagając zbudować mięśnie „sześciopak” i zapewniając inny bodziec do rdzenia podczas treningu.",Strength Training,Abdominals,Other,Intermediate,8.9,Average
93,Ab Roller,"Wdrożenie koła AB to ćwiczenie ukierunkowane na brzuch, często z niedrogim urządzeniem koła z uchwytem po obu stronach.Wielu trenerów i trenerów siły twierdzi, że jest to jeden z najlepszych ćwiczeń dla rozwoju siły w środkowej części.Początkujący mogą zacząć od ograniczonego zakresu ruchu lub po prostu deski do koła.",Strength Training,Abdominals,Other,Intermediate,8.9,Average
94,Otis-Up,"Otis-Up jest ważonym ćwiczeniem koncentrującym się na mięśniach brzucha, a także na ramionach w mniejszym stopniu.Kieruje się przede wszystkim mięśni brzucha odbytnicy lub „sześciopak”, ale obejmuje także skośne i głębokie mięśnie rdzenia.Zwykle wykonuje się go na ławce o spadku, trzymając płytkę wagową, ale można go również wykonać za pomocą hantli, kettlebell lub innej wagi.",Strength Training,Abdominals,Other,Intermediate,8.8,Average
95,Captain's chair knee raise,"Podniesienie kolana krzesła kapitana jest ćwiczeniem masy ciała, które są ukierunkowane na brzuch.Jest wykonywany na urządzeniu, który pozwala przedramionom spoczywać na podkładkach i pionowym tułowiu, aby swobodnie zawiesić.Podwyżki kolana są często wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń lub więcej, w ramach treningu skoncentrowanego na AB.",Strength Training,Abdominals,Other,Intermediate,8.6,Average
96,Sledgehammer swing,"Huśtawka młotka to ćwiczenie działające na brzuch i wiele innych mięśni.Mieszkier jest zatrzasany z nad głową na oponę, która pochłania uderzenie i powoduje, że młot odbija się z powrotem.Można go wykonywać dla czasu lub powtórzeń w ramach funkcjonalnej fitness lub treningu skoncentrowanego na atletyzmie.",HIIT,Abdominals,Other,Intermediate,8.6,Average
97,Decline bar press sit-up,"Sit-upa prasowa prasowa jest ważonym ćwiczeniem rdzeniowym ukierunkowanym na mięśnie brzuszne, szczególnie niższe ABS.Przesunięcie ciężaru rzuca także ramiona i górną część pleców.Ważone warianty sit-up są zwykle wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń na zestaw lub więcej, w ramach części treningu skoncentrowanego na rdzeniu.",Strength Training,Abdominals,Barbell,Intermediate,8.5,Average
98,Pallof press,"Palof Press to ćwiczenie izometryczne, które trenuje stabilność rdzenia.Obejmuje odporność obrotu z kabla lub pasma, opracowując tak zwaną siłę rdzenia „anty-rotacyjnego”.Najczęściej występuje w programach dla sportowców, którzy rywalizują w sporcie, które testują siłę, moc i ruchy funkcjonalne.Można go szkolić w czasach czasowych lub dla powtórzeń, naciskając kabel lub opaskę z dala od nadwozia.",Strength Training,Abdominals,Other,Intermediate,8.4,Average
99,Weighted Sit-Ups - With Bands,"Ważone siedzenie jest trudniejszą wersją bardzo popularnego ruchu brzucha.Proste dodanie ciężaru sprawia, że ​​sit-up jest znacznie trudniejsza, zapewniając inny bodziec do rdzenia podczas treningu i pomagając budować silne brzucha.",Strength Training,Abdominals,Other,Intermediate,8.0,Average
100,Suitcase crunch,"Skurcz walizki to ruch masy ciała, który atakuje mięśnie brzucha, odbytnicy brzusznej, a zwłaszcza mięśni „sześciopakowych”.Jest podobny do V-UP, ale dolna część pleców pozostaje płasko na ziemi.Można go wykonywać dla czasu lub powtórzeń w skoncentrowanej przez A części każdego treningu.",Strength Training,Abdominals,Other,Intermediate,0.0,Average
101,FYR Rope Jumping,"Skakanie to klasyczne ćwiczenia kondycjonujące, które są popularne wśród wszystkich, od dzieci, bokserów po sportowców Crossfit.Kieruje się na wiele różnych mięśni, w tym łydki, pośladków, ramion i górnej części pleców, i jest świetny dla wszystkiego, od utraty tłuszczu po poprawę ogólnej wydajności sportowej.",Strength Training,Abdominals,Other,Intermediate,,
102,Barbell press sit-up,"Sit-U-U-U-U-U-U-U-U-Upt-U-U-Upt-U-Upt-Ups koncentrujący się na mięśniach brzucha, a także na ramionach w mniejszym stopniu.Kieruje się przede wszystkim mięśni brzucha odbytnicy lub „sześciopak”, ale obejmuje także skośne i głębokie mięśnie rdzenia.Można go wykonywać na podłodze z zakotwiczonymi lub niezakotwiczonymi stopami, lub z powodu spadku lub innej ławki.Jest podobny do otis-up, który jest wykonywany z płytą wagową.",Strength Training,Abdominals,Other,Intermediate,,
103,Single-arm bent-over rear delt fly,"Jednokazałowy wygięty tylna mucha delta jest popularnym ćwiczeniem górnego ciała, które atakuje mięśnie z tyłu stawu barkowego, w szczególności tylną głowę naramiennika.Ponieważ ruchy prasowe budują przód i (w mniejszym stopniu) boczne główki naramienne, ten ruch jest często wykonywany w celu promowania zrównoważonego rozwoju barku.Zazwyczaj wykonuje się to dla wysokich powtórzeń, takich jak 10-15 powtórzeń na zestaw lub więcej, w ramach treningu barku lub górnego ciała.",Strength Training,Abdominals,Other,Intermediate,,
104,Captain's chair leg raise,"Podniesienie nóg krzesła kapitana to ćwiczenie w masie ciała, które są ukierunkowane na ABS.Jest wykonywany na urządzeniu, który pozwala przedramionom spoczywać na podkładkach i pionowym tułowiu, aby swobodnie zawiesić.Zmiany podnoszenia nóg są często wykonywane dla umiarkowanych do wysokich powtórzeń, takich jak 8-12 powtórzeń lub więcej, w ramach treningu zorientowanego na A.",Strength Training,Abdominals,Other,Intermediate,,
105,Shoulder-Elevated One-Leg Hip Thrusts,,Strength Training,Abdominals,Other,Intermediate,,
106,Ab Twist - Gethin Variation,"Syt-U-U-Upt-Up to ćwiczenie masy ciała ukierunkowane na mięśnie AB, skośne i odbytnicze brzuszne, a zwłaszcza mięśnie „sześciopakowe”.Polega na połączeniu kolana i łokcia w przeciwnej strony, zwykle na przemian z każdym powtórzeniem.Można go wykonywać dla czasu lub powtórzeń w ramach zorientowanej na A części każdego treningu.",Strength Training,Abdominals,Other,Intermediate,,
107,Weighted Crunch - Gethin Variation,"Ważone siedzenie jest trudniejszą wersją bardzo popularnego ruchu brzucha.Proste dodanie ciężaru sprawia, że ​​sit-up jest znacznie trudniejsza, zapewniając inny bodziec do rdzenia podczas treningu i pomagając budować silne brzucha.",Strength Training,Abdominals,Other,Intermediate,,
108,Ab Wheel Roll-Out - Gethin Variation,"Wdrożenie koła AB to ćwiczenie ukierunkowane na brzuch, często z niedrogim urządzeniem koła z uchwytem po obu stronach.Wielu trenerów i trenerów siły twierdzi, że jest to jeden z najlepszych ćwiczeń dla rozwoju siły w środkowej części.Początkujący mogą zacząć od ograniczonego zakresu ruchu lub po prostu deski do koła.",Strength Training,Abdominals,Other,Intermediate,,
